Algoritmo,Arquivo,Execucao,Parametros,Tempo_Inicio,Tempo_Termino,Tempo_Total,Melhor_Fitness
GA,art_14_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:42:48.399691,2026-04-28 13:45:00.511004,0:02:12.111313,206.75713432314635
GA,art_14_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:42:58.012553,2026-04-28 13:43:46.193999,0:00:48.181446,119.34142334148439
GA,art_15_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:43:15.315153,2026-04-28 13:43:48.090921,0:00:32.775768,99.16758990153026
GA,art_15_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:43:38.590126,2026-04-28 13:44:38.484031,0:00:59.893905,113.25276157804346
GA,art_15_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:43:48.964183,2026-04-28 13:45:34.142288,0:01:45.178105,177.1022650627914
GA,art_15_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:43:50.904811,2026-04-28 13:46:18.799536,0:02:27.894725,384.9544102637661
GA,art_15_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:43:52.544000,2026-04-28 13:46:33.145669,0:02:40.601669,207.92813745695685
GA,art_15_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:43:53.389493,2026-04-28 13:44:16.972909,0:00:23.583416,106.37396001366034
GA,art_16_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:43:58.082014,2026-04-28 13:46:20.739942,0:02:22.657928,439.8166565328486
GA,art_16_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:44:05.933533,2026-04-28 13:45:43.805411,0:01:37.871878,284.0268117679135
GA,art_16_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:44:09.981278,2026-04-28 13:45:55.600139,0:01:45.618861,213.2162615360309
